protein_accession_clean,gene_symbol,protein_name_final,HPX,Tf,control,present_in_HPX,present_in_Tf,present_in_control,candidate_HPX_specific,candidate_shared_HPX_Tf,candidate_HPX_over_background_score
P22307,SCP2,Sterol carrier protein 2,0.0,0.0,1.0,False,False,True,False,False,-1.0
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,0.0,0.0,1.0,False,False,True,False,False,-1.0
P22695,UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial",0.0,0.0,1.0,False,False,True,False,False,-1.0
P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B,0.0,0.0,1.0,False,False,True,False,False,-1.0
P24844,MYL9,Myosin regulatory light polypeptide 9,0.0,0.0,1.0,False,False,True,False,False,-1.0
P25398,RPS12,Small ribosomal subunit protein eS12,0.0,0.0,1.0,False,False,True,False,False,-1.0
P27797,CALR,Calreticulin,0.0,0.0,1.0,False,False,True,False,False,-1.0
P29692,EEF1D,Elongation factor 1-delta,0.0,0.0,1.0,False,False,True,False,False,-1.0
P30038,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",0.0,0.0,1.0,False,False,True,False,False,-1.0
P30043,BLVRB,Flavin reductase (NADPH),0.0,0.0,1.0,False,False,True,False,False,-1.0
P30048,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",0.0,0.0,1.0,False,False,True,False,False,-1.0
P35606,COPB2,Coatomer subunit beta',0.0,0.0,1.0,False,False,True,False,False,-1.0
P36957,DLST,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",0.0,0.0,1.0,False,False,True,False,False,-1.0
P37268,FDFT1,Squalene synthase,0.0,0.0,1.0,False,False,True,False,False,-1.0
P40227,CCT6A,T-complex protein 1 subunit zeta,0.0,0.0,1.0,False,False,True,False,False,-1.0
P40616,ARL1,ADP-ribosylation factor-like protein 1,0.0,0.0,1.0,False,False,True,False,False,-1.0
P42704,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial",0.0,0.0,1.0,False,False,True,False,False,-1.0
P46087,NOP2,28S rRNA (cytosine(4447)-C(5))-methyltransferase,0.0,0.0,1.0,False,False,True,False,False,-1.0
P46783,RPS10,Small ribosomal subunit protein eS10,0.0,0.0,1.0,False,False,True,False,False,-1.0
P47755,CAPZA2,F-actin-capping protein subunit alpha-2,0.0,0.0,1.0,False,False,True,False,False,-1.0
P47756,CAPZB,F-actin-capping protein subunit beta,0.0,0.0,1.0,False,False,True,False,False,-1.0
P47897,QARS1,Glutamine--tRNA ligase,0.0,0.0,1.0,False,False,True,False,False,-1.0
P49207,RPL34,Large ribosomal subunit protein eL34,0.0,0.0,1.0,False,False,True,False,False,-1.0
P49326,FMO5,Flavin-containing monooxygenase 5,0.0,0.0,1.0,False,False,True,False,False,-1.0
P49458,SRP9,Signal recognition particle 9 kDa protein,0.0,0.0,1.0,False,False,True,False,False,-1.0
P50226,SULT1A2,Sulfotransferase 1A2,0.0,0.0,1.0,False,False,True,False,False,-1.0
P50990,CCT8,T-complex protein 1 subunit theta,0.0,0.0,1.0,False,False,True,False,False,-1.0
P51114,FXR1,RNA-binding protein FXR1,0.0,0.0,1.0,False,False,True,False,False,-1.0
P51153,RAB13,Ras-related protein Rab-13,0.0,0.0,1.0,False,False,True,False,False,-1.0
P52294,KPNA1,Importin subunit alpha-5,0.0,0.0,1.0,False,False,True,False,False,-1.0
P53618,COPB1,Coatomer subunit beta,0.0,0.0,1.0,False,False,True,False,False,-1.0
P54652,HSPA2,Heat shock-related 70 kDa protein 2,0.0,0.0,1.0,False,False,True,False,False,-1.0
P55795,HNRNPH2,Heterogeneous nuclear ribonucleoprotein H2,0.0,0.0,1.0,False,False,True,False,False,-1.0
P56385,ATP5ME,"ATP synthase F(0) complex subunit e, mitochondrial",0.0,0.0,1.0,False,False,True,False,False,-1.0
P57088,TMEM33,Transmembrane protein 33,0.0,0.0,1.0,False,False,True,False,False,-1.0
P60468,SEC61B,Protein transport protein Sec61 subunit beta,0.0,0.0,1.0,False,False,True,False,False,-1.0
P61221,ABCE1,ATP-binding cassette sub-family E member 1,0.0,0.0,1.0,False,False,True,False,False,-1.0
P61513,RPL37A,Large ribosomal subunit protein eL43,0.0,0.0,1.0,False,False,True,False,False,-1.0
P61626,LYZ,Lysozyme C,0.0,0.0,1.0,False,False,True,False,False,-1.0
P61803,DAD1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,0.0,0.0,1.0,False,False,True,False,False,-1.0
P62081,RPS7,Small ribosomal subunit protein eS7,0.0,0.0,1.0,False,False,True,False,False,-1.0
P62195,PSMC5,26S proteasome regulatory subunit 8,0.0,0.0,1.0,False,False,True,False,False,-1.0
P62258,YWHAE,14-3-3 protein epsilon,0.0,0.0,1.0,False,False,True,False,False,-1.0
P62314,SNRPD1,Small nuclear ribonucleoprotein Sm D1,0.0,0.0,1.0,False,False,True,False,False,-1.0
P62491,RAB11A,Ras-related protein Rab-11A,0.0,0.0,1.0,False,False,True,False,False,-1.0
P62820,RAB1A,Ras-related protein Rab-1A,0.0,0.0,1.0,False,False,True,False,False,-1.0
P62841,RPS15,Small ribosomal subunit protein uS19,0.0,0.0,1.0,False,False,True,False,False,-1.0
P62854,RPS26,Small ribosomal subunit protein eS26,0.0,0.0,1.0,False,False,True,False,False,-1.0
P63104,YWHAZ,14-3-3 protein zeta/delta,0.0,0.0,1.0,False,False,True,False,False,-1.0
P63173,RPL38,Large ribosomal subunit protein eL38,0.0,0.0,1.0,False,False,True,False,False,-1.0
P78362,SRPK2,SRSF protein kinase 2,0.0,0.0,1.0,False,False,True,False,False,-1.0
