protein_accession_clean,uniprot_id,gene_symbol,protein_name_uniprot,organism_name,annotation_source
Q13501,SQSTM_HUMAN,SQSTM1,Sequestosome-1,Homo sapiens,uniprot_api
Q14103,HNRPD_HUMAN,HNRNPD,Heterogeneous nuclear ribonucleoprotein D0,Homo sapiens,uniprot_api
Q13045,FLII_HUMAN,FLII,Protein flightless-1 homolog,Homo sapiens,uniprot_api
Q13576,IQGA2_HUMAN,IQGAP2,Ras GTPase-activating-like protein IQGAP2,Homo sapiens,uniprot_api
Q15041,AR6P1_HUMAN,ARL6IP1,ADP-ribosylation factor-like protein 6-interacting protein 1,Homo sapiens,uniprot_api
Q14847,LASP1_HUMAN,LASP1,LIM and SH3 domain protein 1,Homo sapiens,uniprot_api
Q14191,WRN_HUMAN,WRN,Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN,Homo sapiens,uniprot_api
Q15005,SPCS2_HUMAN,SPCS2,Signal peptidase complex subunit 2,Homo sapiens,uniprot_api
Q15075,EEA1_HUMAN,EEA1,Early endosome antigen 1,Homo sapiens,uniprot_api
Q14258,TRI25_HUMAN,TRIM25,E3 ubiquitin/ISG15 ligase TRIM25,Homo sapiens,uniprot_api
Q14344,GNA13_HUMAN,GNA13,Guanine nucleotide-binding protein subunit alpha-13,Homo sapiens,uniprot_api
Q14568,HS902_HUMAN,HSP90AA2P,Heat shock protein HSP 90-alpha A2,Homo sapiens,uniprot_api
Q14749,GNMT_HUMAN,GNMT,Glycine N-methyltransferase,Homo sapiens,uniprot_api
Q14894,CRYM_HUMAN,CRYM,Ketimine reductase mu-crystallin,Homo sapiens,uniprot_api
Q14964,RB39A_HUMAN,RAB39A,Ras-related protein Rab-39A,Homo sapiens,uniprot_api
Q15043,S39AE_HUMAN,SLC39A14,Metal cation symporter ZIP14,Homo sapiens,uniprot_api
Q14204,DYHC1_HUMAN,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,Homo sapiens,uniprot_api
Q14534,ERG1_HUMAN,SQLE,Squalene monooxygenase,Homo sapiens,uniprot_api
Q14678,KANK1_HUMAN,KANK1,KN motif and ankyrin repeat domain-containing protein 1,Homo sapiens,uniprot_api
Q14764,MVP_HUMAN,MVP,Major vault protein,Homo sapiens,uniprot_api
Q15029,U5S1_HUMAN,EFTUD2,116 kDa U5 small nuclear ribonucleoprotein component,Homo sapiens,uniprot_api
Q15067,ACOX1_HUMAN,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,Homo sapiens,uniprot_api
Q14520,HABP2_HUMAN,HABP2,Factor VII-activating protease,Homo sapiens,uniprot_api
Q15020,SART3_HUMAN,SART3,"Spliceosome associated factor 3, U4/U6 recycling protein",Homo sapiens,uniprot_api
Q14240,IF4A2_HUMAN,EIF4A2,Eukaryotic initiation factor 4A-II,Homo sapiens,uniprot_api
