protein_accession_clean,uniprot_id,gene_symbol,protein_name_uniprot,organism_name,annotation_source
P05091,ALDH2_HUMAN,ALDH2,"Aldehyde dehydrogenase, mitochondrial",Homo sapiens,uniprot_api
P05154,IPSP_HUMAN,SERPINA5,Plasma serine protease inhibitor,Homo sapiens,uniprot_api
P05181,CP2E1_HUMAN,CYP2E1,Cytochrome P450 2E1,Homo sapiens,uniprot_api
P05387,RLA2_HUMAN,RPLP2,Large ribosomal subunit protein P2,Homo sapiens,uniprot_api
P05455,LA_HUMAN,SSB,Lupus La protein,Homo sapiens,uniprot_api
P05089,ARGI1_HUMAN,ARG1,Arginase-1,Homo sapiens,uniprot_api
P05109,S10A8_HUMAN,S100A8,Protein S100-A8,Homo sapiens,uniprot_api
P05164,PERM_HUMAN,MPO,Myeloperoxidase,Homo sapiens,uniprot_api
P05198,IF2A_HUMAN,EIF2S1,Eukaryotic translation initiation factor 2 subunit 1,Homo sapiens,uniprot_api
P05388,RLA0_HUMAN,RPLP0,Large ribosomal subunit protein uL10,Homo sapiens,uniprot_api
P06312,KV401_HUMAN,IGKV4-1,Immunoglobulin kappa variable 4-1,Homo sapiens,uniprot_api
P06576,ATPB_HUMAN,ATP5F1B,"ATP synthase F(1) complex subunit beta, mitochondrial",Homo sapiens,uniprot_api
P04908,H2A1B_HUMAN,H2AC4,Histone H2A type 1-B/E,Homo sapiens,uniprot_api
P05141,ADT2_HUMAN,SLC25A5,ADP/ATP translocase 2,Homo sapiens,uniprot_api
P05155,IC1_HUMAN,SERPING1,Plasma protease C1 inhibitor,Homo sapiens,uniprot_api
P06454,PTMA_HUMAN,PTMA,Prothymosin alpha,Homo sapiens,uniprot_api
P05023,AT1A1_HUMAN,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1,Homo sapiens,uniprot_api
P06133,UD2B4_HUMAN,UGT2B4,UDP-glucuronosyltransferase 2B4,Homo sapiens,uniprot_api
P06310,KV230_HUMAN,IGKV2-30,Immunoglobulin kappa variable 2-30,Homo sapiens,uniprot_api
P07306,ASGR1_HUMAN,ASGR1,Asialoglycoprotein receptor 1,Homo sapiens,uniprot_api
P07737,PROF1_HUMAN,PFN1,Profilin-1,Homo sapiens,uniprot_api
P06748,NPM_HUMAN,NPM1,Nucleophosmin,Homo sapiens,uniprot_api
P07099,HYEP_HUMAN,EPHX1,Epoxide hydrolase 1,Homo sapiens,uniprot_api
P07864,LDHC_HUMAN,LDHC,L-lactate dehydrogenase C chain,Homo sapiens,uniprot_api
P07900,HS90A_HUMAN,HSP90AA1,Heat shock protein HSP 90-alpha,Homo sapiens,uniprot_api
P07951,TPM2_HUMAN,TPM2,Tropomyosin beta chain,Homo sapiens,uniprot_api
P07148,FABPL_HUMAN,FABP1,"Fatty acid-binding protein, liver",Homo sapiens,uniprot_api
P07237,PDIA1_HUMAN,P4HB,Protein disulfide-isomerase,Homo sapiens,uniprot_api
P07437,TBB5_HUMAN,TUBB,Tubulin beta chain,Homo sapiens,uniprot_api
P07858,CATB_HUMAN,CTSB,Cathepsin B,Homo sapiens,uniprot_api
P07988,PSPB_HUMAN,SFTPB,Pulmonary surfactant-associated protein B,Homo sapiens,uniprot_api
P08134,RHOC_HUMAN,RHOC,Rho-related GTP-binding protein RhoC,Homo sapiens,uniprot_api
P08263,GSTA1_HUMAN,GSTA1,Glutathione S-transferase A1,Homo sapiens,uniprot_api
P06733,ENOA_HUMAN,ENO1,Alpha-enolase,Homo sapiens,uniprot_api
P07327,ADH1A_HUMAN,ADH1A,Alcohol dehydrogenase 1A,Homo sapiens,uniprot_api
P07339,CATD_HUMAN,CTSD,Cathepsin D,Homo sapiens,uniprot_api
P07358,CO8B_HUMAN,C8B,Complement component C8 beta chain,Homo sapiens,uniprot_api
P07919,QCR6_HUMAN,UQCRH,"Cytochrome b-c1 complex subunit 6, mitochondrial",Homo sapiens,uniprot_api
P08238,HS90B_HUMAN,HSP90AB1,Heat shock protein HSP 90-beta,Homo sapiens,uniprot_api
P06753,TPM3_HUMAN,TPM3,Tropomyosin alpha-3 chain,Homo sapiens,uniprot_api
P07203,GPX1_HUMAN,GPX1,Glutathione peroxidase 1,Homo sapiens,uniprot_api
P07355,ANXA2_HUMAN,ANXA2,Annexin A2,Homo sapiens,uniprot_api
P06681,CO2_HUMAN,C2,Complement C2,Homo sapiens,uniprot_api
P07741,APT_HUMAN,APRT,Adenine phosphoribosyltransferase,Homo sapiens,uniprot_api
P09172,DOPO_HUMAN,DBH,Dopamine beta-hydroxylase,Homo sapiens,uniprot_api
P08727,K1C19_HUMAN,KRT19,"Keratin, type I cytoskeletal 19",Homo sapiens,uniprot_api
P08865,RSSA_HUMAN,RPSA,Small ribosomal subunit protein uS2,Homo sapiens,uniprot_api
P09467,F16P1_HUMAN,FBP1,"Fructose-1,6-bisphosphatase 1",Homo sapiens,uniprot_api
P09543,CN37_HUMAN,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",Homo sapiens,uniprot_api
P09914,IFIT1_HUMAN,IFIT1,Antiviral innate immune response effector IFIT1,Homo sapiens,uniprot_api
P08779,K1C16_HUMAN,KRT16,"Keratin, type I cytoskeletal 16",Homo sapiens,uniprot_api
P09327,VILI_HUMAN,VIL1,Villin-1,Homo sapiens,uniprot_api
P09651,ROA1_HUMAN,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,Homo sapiens,uniprot_api
P09960,LKHA4_HUMAN,LTA4H,Leukotriene A-4 hydrolase,Homo sapiens,uniprot_api
P0C0L4,CO4A_HUMAN,C4A,Complement C4-A,Homo sapiens,uniprot_api
P08574,CY1_HUMAN,CYC1,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,uniprot_api
P09210,GSTA2_HUMAN,GSTA2,Glutathione S-transferase A2,Homo sapiens,uniprot_api
P09382,LEG1_HUMAN,LGALS1,Galectin-1,Homo sapiens,uniprot_api
P08697,A2AP_HUMAN,SERPINF2,Alpha-2-antiplasmin,Homo sapiens,uniprot_api
P08708,RS17_HUMAN,RPS17,Small ribosomal subunit protein eS17,Homo sapiens,uniprot_api
P09429,HMGB1_HUMAN,HMGB1,High mobility group protein B1,Homo sapiens,uniprot_api
P09629,HXB7_HUMAN,HOXB7,Homeobox protein Hox-B7,Homo sapiens,uniprot_api
P09669,COX6C_HUMAN,COX6C,Cytochrome c oxidase subunit 6C,Homo sapiens,uniprot_api
P09493,TPM1_HUMAN,TPM1,Tropomyosin alpha-1 chain,Homo sapiens,uniprot_api
P09525,ANXA4_HUMAN,ANXA4,Annexin A4,Homo sapiens,uniprot_api
P09110,THIK_HUMAN,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",Homo sapiens,uniprot_api
P09132,SRP19_HUMAN,SRP19,Signal recognition particle 19 kDa protein,Homo sapiens,uniprot_api
P08319,ADH4_HUMAN,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,Homo sapiens,uniprot_api
P09622,DLDH_HUMAN,DLD,"Dihydrolipoyl dehydrogenase, mitochondrial",Homo sapiens,uniprot_api
P0C0S8,H2A1_HUMAN,H2AC11,Histone H2A type 1,Homo sapiens,uniprot_api
P0C0L5,CO4B_HUMAN,C4B,Complement C4-B,Homo sapiens,uniprot_api
P0C0S5,H2AZ_HUMAN,H2AZ1,Histone H2A.Z,Homo sapiens,uniprot_api
P0DMM9,ST1A3_HUMAN,SULT1A3,Sulfotransferase 1A3,Homo sapiens,uniprot_api
P0DP23,CALM1_HUMAN,CALM1,Calmodulin-1,Homo sapiens,uniprot_api
P0DMV8,HS71A_HUMAN,HSPA1A,Heat shock 70 kDa protein 1A,Homo sapiens,uniprot_api
P0DOY3,IGLC3_HUMAN,IGLC3,Immunoglobulin lambda constant 3,Homo sapiens,uniprot_api
P0DP24,CALM2_HUMAN,CALM2,Calmodulin-2,Homo sapiens,uniprot_api
P0CG47,UBB_HUMAN,UBB,Polyubiquitin-B,Homo sapiens,uniprot_api
P0DMN0,ST1A4_HUMAN,SULT1A4,Sulfotransferase 1A4,Homo sapiens,uniprot_api
P0CG04,IGLC1_HUMAN,IGLC1,Immunoglobulin lambda constant 1,Homo sapiens,uniprot_api
P0CG48,UBC_HUMAN,UBC,Polyubiquitin-C,Homo sapiens,uniprot_api
P0DMV9,HS71B_HUMAN,HSPA1B,Heat shock 70 kDa protein 1B,Homo sapiens,uniprot_api
P0DOY2,IGLC2_HUMAN,IGLC2,Immunoglobulin lambda constant 2,Homo sapiens,uniprot_api
P0DP25,CALM3_HUMAN,CALM3,Calmodulin-3,Homo sapiens,uniprot_api
P0DME0,SETLP_HUMAN,SETSIP,Protein SETSIP,Homo sapiens,uniprot_api
P0CG38,POTEI_HUMAN,POTEI,POTE ankyrin domain family member I,Homo sapiens,uniprot_api
P0CG39,POTEJ_HUMAN,POTEJ,POTE ankyrin domain family member J,Homo sapiens,uniprot_api
P0CF74,IGLC6_HUMAN,IGLC6,Immunoglobulin lambda constant 6,Homo sapiens,uniprot_api
P0CG22,DR4L1_HUMAN,DHRS4L1,Putative dehydrogenase/reductase SDR family member 4-like 1,Homo sapiens,uniprot_api
P0DP03,HVC05_HUMAN,IGHV3-30-5,Immunoglobulin heavy variable 3-30-5,Homo sapiens,uniprot_api
P0DJD0,RGPD1_HUMAN,RGPD1,RANBP2-like and GRIP domain-containing protein 1,Homo sapiens,uniprot_api
P0DP02,HVC33_HUMAN,IGHV3-30-3,Immunoglobulin heavy variable 3-30-3,Homo sapiens,uniprot_api
P0DN26,PAL4F_HUMAN,PPIAL4F,Peptidyl-prolyl cis-trans isomerase A-like 4F,Homo sapiens,uniprot_api
P0DPD5,ZN723_HUMAN,ZNF723,Zinc finger protein 723,Homo sapiens,uniprot_api
P0DPH7,TBA3C_HUMAN,TUBA3C,Tubulin alpha-3C chain,Homo sapiens,uniprot_api
P10620,MGST1_HUMAN,MGST1,Microsomal glutathione S-transferase 1,Homo sapiens,uniprot_api
P10632,CP2C8_HUMAN,CYP2C8,Cytochrome P450 2C8,Homo sapiens,uniprot_api
P10767,FGF6_HUMAN,FGF6,Fibroblast growth factor 6,Homo sapiens,uniprot_api
P0DTE7,AMY1B_HUMAN,AMY1B,Alpha-amylase 1B,Homo sapiens,uniprot_api
P11021,BIP_HUMAN,HSPA5,Endoplasmic reticulum chaperone BiP,Homo sapiens,uniprot_api
P11498,PYC_HUMAN,PC,"Pyruvate carboxylase, mitochondrial",Homo sapiens,uniprot_api
P11509,CP2A6_HUMAN,CYP2A6,Cytochrome P450 2A6,Homo sapiens,uniprot_api
P11387,TOP1_HUMAN,TOP1,DNA topoisomerase 1,Homo sapiens,uniprot_api
P11712,CP2C9_HUMAN,CYP2C9,Cytochrome P450 2C9,Homo sapiens,uniprot_api
P0DPH8,TBA3D_HUMAN,TUBA3D,Tubulin alpha-3D chain,Homo sapiens,uniprot_api
P0DUB6,AMY1A_HUMAN,AMY1A,Alpha-amylase 1A,Homo sapiens,uniprot_api
P10809,CH60_HUMAN,HSPD1,"60 kDa heat shock protein, mitochondrial",Homo sapiens,uniprot_api
P11586,C1TC_HUMAN,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic",Homo sapiens,uniprot_api
P0DTE8,AMY1C_HUMAN,AMY1C,Alpha-amylase 1C,Homo sapiens,uniprot_api
P10321,HLAC_HUMAN,HLA-C,"HLA class I histocompatibility antigen, C alpha chain",Homo sapiens,uniprot_api
P10412,H14_HUMAN,H1-4,Histone H1.4,Homo sapiens,uniprot_api
P10909,CLUS_HUMAN,CLU,Clusterin,Homo sapiens,uniprot_api
P10599,THIO_HUMAN,TXN,Thioredoxin,Homo sapiens,uniprot_api
P11310,ACADM_HUMAN,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",Homo sapiens,uniprot_api
P0DTE5,UD2A2_HUMAN,UGT2A2,UDP-glucuronosyltransferase 2A2,Homo sapiens,uniprot_api
P11142,HSP7C_HUMAN,HSPA8,Heat shock cognate 71 kDa protein,Homo sapiens,uniprot_api
P11908,PRPS2_HUMAN,PRPS2,Ribose-phosphate pyrophosphokinase 2,Homo sapiens,uniprot_api
P0DPI2,GAL3A_HUMAN,GATD3,"Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial",Homo sapiens,uniprot_api
P0DTE2,HV511_HUMAN,IGHV8-51-1,Probable non-functional immunoglobulin heavy variable 8-51-1,Homo sapiens,uniprot_api
P12236,ADT3_HUMAN,SLC25A6,ADP/ATP translocase 3,Homo sapiens,uniprot_api
P12235,ADT1_HUMAN,SLC25A4,ADP/ATP translocase 1,Homo sapiens,uniprot_api
P13010,XRCC5_HUMAN,XRCC5,DNA repair protein Ku80,Homo sapiens,uniprot_api
P12956,XRCC6_HUMAN,XRCC6,DNA repair protein Ku70,Homo sapiens,uniprot_api
P13646,K1C13_HUMAN,KRT13,"Keratin, type I cytoskeletal 13",Homo sapiens,uniprot_api
P12036,NFH_HUMAN,NEFH,Neurofilament heavy polypeptide,Homo sapiens,uniprot_api
P12814,ACTN1_HUMAN,ACTN1,Alpha-actinin-1,Homo sapiens,uniprot_api
P13489,RINI_HUMAN,RNH1,Ribonuclease inhibitor,Homo sapiens,uniprot_api
P13647,K2C5_HUMAN,KRT5,"Keratin, type II cytoskeletal 5",Homo sapiens,uniprot_api
P14174,MIF_HUMAN,MIF,Macrophage migration inhibitory factor,Homo sapiens,uniprot_api
P14550,AK1A1_HUMAN,AKR1A1,Aldo-keto reductase family 1 member A1,Homo sapiens,uniprot_api
P14649,MYL6B_HUMAN,MYL6B,Myosin light chain 6B,Homo sapiens,uniprot_api
P12259,FA5_HUMAN,F5,Coagulation factor V,Homo sapiens,uniprot_api
P13667,PDIA4_HUMAN,PDIA4,Protein disulfide-isomerase A4,Homo sapiens,uniprot_api
P11940,PABP1_HUMAN,PABPC1,Polyadenylate-binding protein 1,Homo sapiens,uniprot_api
P13797,PLST_HUMAN,PLS3,Plastin-3,Homo sapiens,uniprot_api
P13804,ETFA_HUMAN,ETFA,"Electron transfer flavoprotein subunit alpha, mitochondrial",Homo sapiens,uniprot_api
P14625,ENPL_HUMAN,HSP90B1,Endoplasmin,Homo sapiens,uniprot_api
P14923,PLAK_HUMAN,JUP,Junction plakoglobin,Homo sapiens,uniprot_api
P13637,AT1A3_HUMAN,ATP1A3,Sodium/potassium-transporting ATPase subunit alpha-3,Homo sapiens,uniprot_api
P13639,EF2_HUMAN,EEF2,Elongation factor 2,Homo sapiens,uniprot_api
P13645,K1C10_HUMAN,KRT10,"Keratin, type I cytoskeletal 10",Homo sapiens,uniprot_api
P14868,SYDC_HUMAN,DARS1,"Aspartate--tRNA ligase, cytoplasmic",Homo sapiens,uniprot_api
P12111,CO6A3_HUMAN,COL6A3,Collagen alpha-3(VI) chain,Homo sapiens,uniprot_api
P14324,FPPS_HUMAN,FDPS,Farnesyl pyrophosphate synthase,Homo sapiens,uniprot_api
P15880,RS2_HUMAN,RPS2,Small ribosomal subunit protein uS5,Homo sapiens,uniprot_api
P17812,PYRG1_HUMAN,CTPS1,CTP synthase 1,Homo sapiens,uniprot_api
P16104,H2AX_HUMAN,H2AX,Histone H2AX,Homo sapiens,uniprot_api
P16435,NCPR_HUMAN,POR,NADPH--cytochrome P450 reductase,Homo sapiens,uniprot_api
P17844,DDX5_HUMAN,DDX5,Probable ATP-dependent RNA helicase DDX5,Homo sapiens,uniprot_api
P15153,RAC2_HUMAN,RAC2,Ras-related C3 botulinum toxin substrate 2,Homo sapiens,uniprot_api
P15169,CBPN_HUMAN,CPN1,Carboxypeptidase N catalytic chain,Homo sapiens,uniprot_api
P15924,DESP_HUMAN,DSP,Desmoplakin,Homo sapiens,uniprot_api
P16219,ACADS_HUMAN,ACADS,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",Homo sapiens,uniprot_api
P16403,H12_HUMAN,H1-2,Histone H1.2,Homo sapiens,uniprot_api
P17174,AATC_HUMAN,GOT1,"Aspartate aminotransferase, cytoplasmic",Homo sapiens,uniprot_api
P17516,AK1C4_HUMAN,AKR1C4,Aldo-keto reductase family 1 member C4,Homo sapiens,uniprot_api
P17655,CAN2_HUMAN,CAPN2,Calpain-2 catalytic subunit,Homo sapiens,uniprot_api
P16402,H13_HUMAN,H1-3,Histone H1.3,Homo sapiens,uniprot_api
P16662,UD2B7_HUMAN,UGT2B7,UDP-glucuronosyltransferase 2B7,Homo sapiens,uniprot_api
P17066,HSP76_HUMAN,HSPA6,Heat shock 70 kDa protein 6,Homo sapiens,uniprot_api
P17081,RHOQ_HUMAN,RHOQ,Rho-related GTP-binding protein RhoQ,Homo sapiens,uniprot_api
P17480,UBF1_HUMAN,UBTF,Nucleolar transcription factor 1,Homo sapiens,uniprot_api
P17858,PFKAL_HUMAN,PFKL,"ATP-dependent 6-phosphofructokinase, liver type",Homo sapiens,uniprot_api
P16615,AT2A2_HUMAN,ATP2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,Homo sapiens,uniprot_api
P16930,FAAA_HUMAN,FAH,Fumarylacetoacetase,Homo sapiens,uniprot_api
P15531,NDKA_HUMAN,NME1,Nucleoside diphosphate kinase A,Homo sapiens,uniprot_api
P16152,CBR1_HUMAN,CBR1,Carbonyl reductase [NADPH] 1,Homo sapiens,uniprot_api
P16520,GBB3_HUMAN,GNB3,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3,Homo sapiens,uniprot_api
P15428,PGDH_HUMAN,HPGD,15-hydroxyprostaglandin dehydrogenase [NAD(+)],Homo sapiens,uniprot_api
P19013,K2C4_HUMAN,KRT4,"Keratin, type II cytoskeletal 4",Homo sapiens,uniprot_api
P19012,K1C15_HUMAN,KRT15,"Keratin, type I cytoskeletal 15",Homo sapiens,uniprot_api
P17987,TCPA_HUMAN,TCP1,T-complex protein 1 subunit alpha,Homo sapiens,uniprot_api
P18124,RL7_HUMAN,RPL7,Large ribosomal subunit protein uL30,Homo sapiens,uniprot_api
P18621,RL17_HUMAN,RPL17,Large ribosomal subunit protein uL22,Homo sapiens,uniprot_api
P17980,PRS6A_HUMAN,PSMC3,26S proteasome regulatory subunit 6A,Homo sapiens,uniprot_api
P19474,RO52_HUMAN,TRIM21,E3 ubiquitin-protein ligase TRIM21,Homo sapiens,uniprot_api
P20848,A1ATR_HUMAN,SERPINA2,Alpha-1-antitrypsin-related protein,Homo sapiens,uniprot_api
P20853,CP2A7_HUMAN,CYP2A7,Cytochrome P450 2A7,Homo sapiens,uniprot_api
P17931,LEG3_HUMAN,LGALS3,Galectin-3,Homo sapiens,uniprot_api
P18077,RL35A_HUMAN,RPL35A,Large ribosomal subunit protein eL33,Homo sapiens,uniprot_api
P19105,ML12A_HUMAN,MYL12A,Myosin regulatory light chain 12A,Homo sapiens,uniprot_api
P18085,ARF4_HUMAN,ARF4,ADP-ribosylation factor 4,Homo sapiens,uniprot_api
P20042,IF2B_HUMAN,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,Homo sapiens,uniprot_api
P20339,RAB5A_HUMAN,RAB5A,Ras-related protein Rab-5A,Homo sapiens,uniprot_api
P20671,H2A1D_HUMAN,H2AC7,Histone H2A type 1-D,Homo sapiens,uniprot_api
P17936,IBP3_HUMAN,IGFBP3,Insulin-like growth factor-binding protein 3,Homo sapiens,uniprot_api
P18827,SDC1_HUMAN,SDC1,Syndecan-1,Homo sapiens,uniprot_api
P19338,NUCL_HUMAN,NCL,Nucleolin,Homo sapiens,uniprot_api
P21108,PRPS3_HUMAN,PRPS1L1,Ribose-phosphate pyrophosphokinase 3,Homo sapiens,uniprot_api
P19224,UD16_HUMAN,UGT1A6,UDP-glucuronosyltransferase 1A6,Homo sapiens,uniprot_api
P19827,ITIH1_HUMAN,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,Homo sapiens,uniprot_api
P19971,TYPH_HUMAN,TYMP,Thymidine phosphorylase,Homo sapiens,uniprot_api
P20742,PZP_HUMAN,PZP,Pregnancy zone protein,Homo sapiens,uniprot_api
P19961,AMY2B_HUMAN,AMY2B,Alpha-amylase 2B,Homo sapiens,uniprot_api
P21980,TGM2_HUMAN,TGM2,Protein-glutamine gamma-glutamyltransferase 2,Homo sapiens,uniprot_api
P22492,H1T_HUMAN,H1-6,Histone H1t,Homo sapiens,uniprot_api
P22760,AAAD_HUMAN,AADAC,Arylacetamide deacetylase,Homo sapiens,uniprot_api
P22830,HEMH_HUMAN,FECH,"Ferrochelatase, mitochondrial",Homo sapiens,uniprot_api
P21549,AGT1_HUMAN,AGXT,Alanine--glyoxylate aminotransferase,Homo sapiens,uniprot_api
P21912,SDHB_HUMAN,SDHB,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",Homo sapiens,uniprot_api
P22309,UD11_HUMAN,UGT1A1,UDP-glucuronosyltransferase 1A1,Homo sapiens,uniprot_api
P22392,NDKB_HUMAN,NME2,Nucleoside diphosphate kinase B,Homo sapiens,uniprot_api
P22695,QCR2_HUMAN,UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial",Homo sapiens,uniprot_api
P21397,AOFA_HUMAN,MAOA,Amine oxidase [flavin-containing] A,Homo sapiens,uniprot_api
P21399,ACOHC_HUMAN,ACO1,Cytoplasmic aconitate hydratase,Homo sapiens,uniprot_api
P22234,PUR6_HUMAN,PAICS,Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase,Homo sapiens,uniprot_api
P21695,GPDA_HUMAN,GPD1,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",Homo sapiens,uniprot_api
P22061,PIMT_HUMAN,PCMT1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,Homo sapiens,uniprot_api
P22310,UD14_HUMAN,UGT1A4,UDP-glucuronosyltransferase 1A4,Homo sapiens,uniprot_api
P22891,PROZ_HUMAN,PROZ,Vitamin K-dependent protein Z,Homo sapiens,uniprot_api
P23141,EST1_HUMAN,CES1,Liver carboxylesterase 1,Homo sapiens,uniprot_api
P23284,PPIB_HUMAN,PPIB,Peptidyl-prolyl cis-trans isomerase B,Homo sapiens,uniprot_api
P23378,GCSP_HUMAN,GLDC,"Glycine dehydrogenase (decarboxylating), mitochondrial",Homo sapiens,uniprot_api
P22626,ROA2_HUMAN,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,Homo sapiens,uniprot_api
P21127,CD11B_HUMAN,CDK11B,Cyclin-dependent kinase 11B,Homo sapiens,uniprot_api
P22307,SCP2_HUMAN,SCP2,Sterol carrier protein 2,Homo sapiens,uniprot_api
P22531,SPR2E_HUMAN,SPRR2E,Small proline-rich protein 2E,Homo sapiens,uniprot_api
P22090,RS4Y1_HUMAN,RPS4Y1,"Small ribosomal subunit protein eS4, Y isoform 1",Homo sapiens,uniprot_api
P22532,SPR2D_HUMAN,SPRR2D,Small proline-rich protein 2D,Homo sapiens,uniprot_api
P24539,AT5F1_HUMAN,ATP5PB,"ATP synthase peripheral stalk subunit b, mitochondrial",Homo sapiens,uniprot_api
P25705,ATPA_HUMAN,ATP5F1A,"ATP synthase F(1) complex subunit alpha, mitochondrial",Homo sapiens,uniprot_api
P23786,CPT2_HUMAN,CPT2,"Carnitine O-palmitoyltransferase 2, mitochondrial",Homo sapiens,uniprot_api
P25445,TNR6_HUMAN,FAS,Tumor necrosis factor receptor superfamily member 6,Homo sapiens,uniprot_api
P27144,KAD4_HUMAN,AK4,"Adenylate kinase 4, mitochondrial",Homo sapiens,uniprot_api
P27348,1433T_HUMAN,YWHAQ,14-3-3 protein theta,Homo sapiens,uniprot_api
P26373,RL13_HUMAN,RPL13,Large ribosomal subunit protein eL13,Homo sapiens,uniprot_api
P27816,MAP4_HUMAN,MAP4,Microtubule-associated protein 4,Homo sapiens,uniprot_api
P28332,ADH6_HUMAN,ADH6,Alcohol dehydrogenase 6,Homo sapiens,uniprot_api
P23528,COF1_HUMAN,CFL1,Cofilin-1,Homo sapiens,uniprot_api
P24752,THIL_HUMAN,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",Homo sapiens,uniprot_api
P27169,PON1_HUMAN,PON1,Serum paraoxonase/arylesterase 1,Homo sapiens,uniprot_api
P28838,AMPL_HUMAN,LAP3,Cytosol aminopeptidase,Homo sapiens,uniprot_api
P23526,SAHH_HUMAN,AHCY,Adenosylhomocysteinase,Homo sapiens,uniprot_api
P25398,RS12_HUMAN,RPS12,Small ribosomal subunit protein eS12,Homo sapiens,uniprot_api
P27708,PYR1_HUMAN,CAD,Multifunctional protein CAD,Homo sapiens,uniprot_api
P23396,RS3_HUMAN,RPS3,Small ribosomal subunit protein uS3,Homo sapiens,uniprot_api
P26640,SYVC_HUMAN,VARS1,Valine--tRNA ligase,Homo sapiens,uniprot_api
P27105,STOM_HUMAN,STOM,Stomatin,Homo sapiens,uniprot_api
P27635,RL10_HUMAN,RPL10,Large ribosomal subunit protein uL16,Homo sapiens,uniprot_api
P27797,CALR_HUMAN,CALR,Calreticulin,Homo sapiens,uniprot_api
P27824,CALX_HUMAN,CANX,Calnexin,Homo sapiens,uniprot_api
P26641,EF1G_HUMAN,EEF1G,Elongation factor 1-gamma,Homo sapiens,uniprot_api
P27338,AOFB_HUMAN,MAOB,Amine oxidase [flavin-containing] B,Homo sapiens,uniprot_api
P24844,MYL9_HUMAN,MYL9,Myosin regulatory light polypeptide 9,Homo sapiens,uniprot_api
P30039,PBLD_HUMAN,PBLD,Phenazine biosynthesis-like domain-containing protein,Homo sapiens,uniprot_api
P29622,KAIN_HUMAN,SERPINA4,Kallistatin,Homo sapiens,uniprot_api
P30043,BLVRB_HUMAN,BLVRB,Flavin reductase (NADPH),Homo sapiens,uniprot_api
P30533,AMRP_HUMAN,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,Homo sapiens,uniprot_api
P30838,AL3A1_HUMAN,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",Homo sapiens,uniprot_api
P31040,SDHA_HUMAN,SDHA,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",Homo sapiens,uniprot_api
P30101,PDIA3_HUMAN,PDIA3,Protein disulfide-isomerase A3,Homo sapiens,uniprot_api
P30153,2AAA_HUMAN,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,Homo sapiens,uniprot_api
P30740,ILEU_HUMAN,SERPINB1,Leukocyte elastase inhibitor,Homo sapiens,uniprot_api
P31025,LCN1_HUMAN,LCN1,Lipocalin-1,Homo sapiens,uniprot_api
P30041,PRDX6_HUMAN,PRDX6,Peroxiredoxin-6,Homo sapiens,uniprot_api
P30613,KPYR_HUMAN,PKLR,Pyruvate kinase PKLR,Homo sapiens,uniprot_api
P30711,GSTT1_HUMAN,GSTT1,Glutathione S-transferase theta-1,Homo sapiens,uniprot_api
P31327,CPSM_HUMAN,CPS1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",Homo sapiens,uniprot_api
P30038,AL4A1_HUMAN,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",Homo sapiens,uniprot_api
P30084,ECHM_HUMAN,ECHS1,"Enoyl-CoA hydratase, mitochondrial",Homo sapiens,uniprot_api
P30086,PEBP1_HUMAN,PEBP1,Phosphatidylethanolamine-binding protein 1,Homo sapiens,uniprot_api
P30837,AL1B1_HUMAN,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial",Homo sapiens,uniprot_api
P31512,FMO4_HUMAN,FMO4,Dimethylaniline monooxygenase [N-oxide-forming] 4,Homo sapiens,uniprot_api
P31689,DNJA1_HUMAN,DNAJA1,DnaJ homolog subfamily A member 1,Homo sapiens,uniprot_api
